date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2023-02-28,3265.74,3280.42,3279.61,3246.14,2516250.25,21.58,0.66,3276.686,3273.383,3269.761,2492829.9,2825086.03,2813725.11
2023-02-27,3257.0,3276.58,3258.03,3251.72,2428553.5,-9.13,-0.28,3282.068,3274.75,3268.564,2638398.75,2844435.18,2837994.08
2023-02-24,3287.26,3288.39,3267.16,3253.97,2342063.0,-20.32,-0.62,3288.53,3277.363,3269.129,2802703.5,2898793.03,2893229.31
2023-02-23,3293.52,3307.44,3287.48,3275.36,2623243.0,-3.67,-0.11,3279.902,3276.714,3269.011,2891193.35,2925213.65,2912735.75
2023-02-22,3292.05,3307.03,3291.15,3286.72,2554039.75,-15.37,-0.47,3272.212,3275.004,3266.651,3128271.85,2917643.88,2894806.11
2023-02-21,3291.63,3308.79,3306.52,3282.44,3244094.5,16.18,0.49,3270.08,3269.1,3263.314,3157342.15,2896770.38,2873158.99
2023-02-20,3230.47,3291.04,3290.34,3225.84,3250077.25,66.32,2.06,3267.432,3263.257,3259.2,3050471.6,2823307.38,2824250.38
2023-02-17,3244.73,3262.47,3224.02,3223.26,2784512.25,-25.01,-0.77,3266.196,3258.093,3256.063,2994882.55,2765352.75,2815121.29
2023-02-16,3281.74,3308.83,3249.03,3231.34,3808635.5,-31.46,-0.96,3273.526,3262.032,3254.627,2959233.95,2780244.35,2786009.13
2023-02-15,3294.02,3296.2,3280.49,3274.55,2699391.25,-12.79,-0.39,3277.796,3265.696,3250.348,2707015.9,2732793.93,2703913.0
2023-02-14,3288.97,3293.73,3293.28,3279.19,2709741.75,9.12,0.28,3268.12,3266.139,3244.416,2636198.6,2802364.2,2687814.88
2023-02-13,3256.99,3285.09,3284.16,3252.63,2972132.0,23.49,0.72,3259.082,3262.378,3238.227,2596143.15,2831552.98,2668819.88
2023-02-10,3266.44,3269.99,3260.67,3247.23,2606269.25,-9.71,-0.3,3249.99,3260.894,3232.823,2535822.95,2887665.6,2649270.89
2023-02-09,3227.73,3270.38,3270.38,3225.77,2547545.25,38.27,1.18,3250.538,3261.308,3227.672,2601254.75,2900257.85,2647647.55
2023-02-08,3251.5,3257.11,3232.11,3230.44,2345304.75,-15.98,-0.49,3253.596,3258.298,3221.914,2758571.95,2871968.35,2648771.8
2023-02-07,3245.23,3250.03,3248.09,3233.83,2509464.5,9.39,0.29,3264.158,3257.528,3216.484,2968529.8,2849547.6,2668163.38
